,,,,Term-VI Time Table (PGP 2024-26 batch) for AY 2025-26,,,,,,,,,,Single Section
,,,Slot 1,Slot 2,Slot3,Break,Slot4,Slot 5,Slot 6,Slot7,Slot 8,Slot 9,,Last Session
"Day, Date",Classroom No.,,9:00 am - 10:15 am,10:30 am - 11:45 am,12 noon - 1:15 pm,Lunch,2:30 pm - 3:45 pm,4:00 pm - 5:15 pm,5:30 pm - 6:45 pm,7:00 pm - 8:15 pm,8:45 pm - 10:00 pm,10:15 pm - 11:30 pm,,Sister section attd. Allowed
01/29/2026,F-103,,ELDM A 15,ELDM B 15,,,,,PBEI A 6,PBEI B 6,,,,
01/29/2026,SRC-201,,,,,,,MAM 3,MAM 4,,,,,
01/29/2026,G103,,,,,,,,,,,,,
01/30/2026,F-201,,MDT 9,MDT 10,PPG 7,,AAHR A 9,AAHR B 9,,HBAFL 8,ET-EIM,,,
01/30/2026,F-203,,BF A 10,BF B 10,BV 10,,CLTC 7,IBSCG A 10,IBSCG B 10,,,,,
01/30/2026,F-103,,,UDP A 2,UDP B 2,,,,,,,,,
01/30/2026,SRC-201,,,,,,,,,,,,,
01/30/2026,G103,,,,,,,,,,,,,
01/31/2026,F-201,,PBM 10,AAHR A 10,AAHR B 10,Quiz-LabE,DMB2B A 8,DMB2B B 8,,ET-Digital,EMBI A 6,EMBI B 6,,
01/31/2026,F-203,,MIT A 5,MIT B 5,,,MSM 15,CIED A 12,CIED B 12,,,,,
01/31/2026,F-103,,,EBS A 7,EBS B 7,,MAM 5,MAM 6,,,,,,
01/31/2026,SRC-201,,,,,,,,,,,,,
01/31/2026,G103,,,,,,,,,,,,,
02/01/2026,F-201,,,DMB2B A 9,DMB2B B 9,,,,,,,,,
02/01/2026,F-203,,EMBI A 7,EMBI B 7,,,ET-CNN,,,,,,,
02/01/2026,F-103,,,,,,,,,,,,,
02/01/2026,SRC-201,,,,,,,,,,,,,
02/01/2026,G103,,,,,,,,,,,,,
02/02/2026,F-201,,GBM 1,IBSCG A 11,IBSCG B 11,,IBS A 12,IBS B 12,MarkA 7,,,,,
02/02/2026,F-203,,UDP A 3,UDP B 3,CLTC 8,,MAM 7,MAM 8,,,,,,
02/02/2026,F-103,,,CIED A 13,CIED B 13,,,,,,,,,
02/02/2026,SRC-201,,DMB2B A 10,DMB2B B 10,,,,,,,,,,
02/02/2026,G103,,,,,,,,,,,,,
02/03/2026,F-201,,,MIT A 6,MIT B 6,Quiz-MDT,ConD 11,LabE 6,IBS A 13,IBS B 13,ET-BF,,,
02/03/2026,F-203,,,EBS A 8,EBS B 8,,ELDM A 16,ELDM B 16,DPM A 7,DPM B 7,,,,
02/03/2026,F-103,,,,,,,,,,,,,
02/03/2026,SRC-201,,,,,,,,,,,,,
02/03/2026,G103,,,,,,,,,,,,,
02/04/2026,F-201,,MDT 11,MDT 12,,,CIED A 14,CIED B 14,IBSCG A 12,ET-BV,,,,
02/04/2026,F-203,,,,,,IBSCG B 12,ELDM A 17,ELDM B 17,,,,,
02/04/2026,F-103,,,,,,,,,,,,,
02/04/2026,SRC-201,,,,,,,,,,,,,
02/04/2026,G103,,,,,,,,,,,,,
02/05/2026,F-201,,ConD 12,ELDM A 18,ELDM B 18,,CLTC 9,MAM 9,MAM 10,PPG 8,MOSE 11,,,
02/05/2026,F-203,,EBS A 9,EBS B 9,LabE 7,,MIT B 7,MIT A 7,,,,,,
02/05/2026,F-103,,,,,,,,,,,,,
02/05/2026,SRC-201,,,,,,,,,,,,,
02/05/2026,G103,,,,,,,,,,,,,
02/06/2026,F-201,,IBSCG A 13,IBSCG B 13,MOSE 12,,,PPG 9,MarkA 8,MOSE 13,EMBI A 8,EMBI B 8,,
02/06/2026,F-203,,,UDP A 4,UDP B 4,,MAM 11,MAM 12,,IBS A 14,IBS B 14,,,
02/06/2026,F-103,,MDT 13,MDT 14,,,,,,,,,,
02/06/2026,SRC-201,,,,,,,,,,,,,
02/06/2026,G103,,,,,,,,,,,,,
02/07/2026,F-201,,MOSE 14,EBS A 10,EBS B 10,,MOSE 15,LabE 8,EMBI A 9,EMBI B 9,,,,
02/07/2026,F-203,,MIT A 8,MIT B 8,PPG 10,,,,,,,,,
02/07/2026,F-103,,,,,,,,,,,,,
02/07/2026,SRC-201,,,,,,,,,,,,,
02/07/2026,G103,,,,,,,,,,,,,
02/08/2026,F-201,,,EMBI A 10,EMBI B 10,,,,,,,,,
02/08/2026,F-203,,,,,,,,,,,,,
02/08/2026,F-103,,,,,,,,,,,,,
02/08/2026,SRC-201,,,,,,,,,,,,,
02/08/2026,G103,,,,,,,,,,,,,
02/09/2026,F-201,,MDT 15,IBSCG A 14,IBSCG B 14,,MOSE 16,MarkA 9,UDP A 5,UDP B 5,GBM 2,,,
02/09/2026,F-203,,IBS A 15,IBS B 15,CLTC 10,,,,,,,,,
02/09/2026,F-103,,,,,,,,,,,,,
02/09/2026,SRC-201,,,,,,,,,,,,,
02/09/2026,G103,,,,,,,,,,,,,
02/10/2026,F-201,,ConD 13,MIT A 9,MIT B 9,,,ELDM A 19,ELDM B 19,,,,,
02/10/2026,F-203,,,DPM A 8,DPM B 8,Quiz-IBS,CIED A 15,CIED B 15,,,,,,
02/10/2026,F-103,,,,,,,,,,,,,
02/10/2026,SRC-201,,,,,,,,,,,,,
02/10/2026,G103,,,,,,,,,,,,,
02/11/2026,F-201,,ET-AAHR,,MOSE 17,,IBSCG A 15,IBSCG B 15,IBS A 16,IBS B 16,ET-MSM,,,
02/11/2026,F-203,,,,,,,ELDM A 20,ELDM B 20,,,,,
02/11/2026,F-103,,,,,,,,,,,,,
02/11/2026,SRC-201,,,,,,,,,,,,,
02/11/2026,G103,,,,,,,,,,,,,
02/12/2026,F-201,,,MIT A 10,MIT B 10,ET-DMB2B,,DPM A 9,DPM B 9,ET-PBM,,,,
02/12/2026,F-203,,,,,,,,,,,,,
02/12/2026,F-103,,,,,,,,,,,,,
02/12/2026,SRC-201,,,,,,,,,,,,,
02/12/2026,G103,,,,,,,,,,,,,
02/13/2026,F-201,,MarkA 10,ET-EBS,,,UDP A 6,UDP B 6,ET-PPG,,,,,
02/13/2026,F-203,,,,,,,,,,,,,
02/13/2026,F-103,,,,,,,,,,,,,
02/13/2026,SRC-201,,,,,,,,,,,,,
02/13/2026,G103,,,,,,,,,,,,,
02/14/2026,F-201,,,MIT A 11,MIT B 11,ET-EMBI,,,MOSE 18,ET-MDT,,,,
02/14/2026,F-203,,,,,,,,,,,,,
02/14/2026,F-103,,,,,,,,,,,,,
02/14/2026,SRC-201,,,,,,,,,,,,,
02/14/2026,G103,,,,,,,,,,,,,
02/15/2026,F-201,,,ET-CIED,,,ET-ELDM,,,,,,,
02/15/2026,F-203,,,,,,,,,,,,,
02/15/2026,F-103,,,,,,,,,,,,,
02/15/2026,SRC-201,,,,,,,,,,,,,
02/15/2026,G103,,,,,,,,,,,,,
02/16/2026,F-201,,,UDP A 7,UDP B 7,,HBAFL 9,MAM 13,MAM 14,MOSE 19,,,,
02/16/2026,F-203,,IBS A 17,IBS B 17,,,,,,,,,,
02/16/2026,F-103,,,,,,,,,,,,,
02/16/2026,SRC-201,,,,,,,,,,,,,
02/16/2026,G103,,,,,,,,,,,,,
02/17/2026,F-201,,,IBS A 18,IBS B 18,,MIT A 12,MIT B 12,,ET-IBSCG,,,,
